Chart File,Title,Last Updated
gauge.html,Tech Sector Goals,2026-07-13 11:53:04
bar_chart.html,Average total remuneration ($AUD) per company among WGEA-reporting organisations (100+ employees),2026-07-13 11:53:04
womens_pay_scales_chart.html,Quartile pay bands per company,2026-07-13 11:53:04
small_multiples.html,Tech sector hiring vs macroeconomic conditions,2026-07-13 11:53:04
interactive_line_chart.html,"Employed persons by tech occupation, 1986–2025",2026-07-13 11:53:04
scatter_chart.html,"Skills-first readiness vs labour market pressure, by region",2026-07-13 11:53:04
ai_vibrancy_chart.html,Global AI Vibrancy Index,2026-07-13 11:53:04
rnd_chart.html,R&D,2026-07-13 11:53:04
womens_leadership_by_sector_chart.html,Per cent of men and women in leadership roles.,2026-07-13 11:53:04
womens_promotion_rates_chart.html,"Per cent of men & women promoted, moved laterally or hired externally within workplace seniority levels.",2026-07-13 11:53:04
tech_share_of_labour_force_chart.html,Tech Roles as a Share of the Total Labour Force,2026-07-13 11:53:04
total_tech_employment_chart.html,Total Employment in the Direct Tech Sector,2026-07-13 11:53:04
salary_percentiles_chart.html,Percentile remuneration per seniority level ($AUD) for common tech roles.,2026-07-13 11:53:04
references.html,References,2026-07-13 11:53:04
